Date,R_a.R_f,sigma_a,R_f
1960-01-05,0.78,1.3292,0.017
1960-01-06,-0.47,1.071,0.017
1960-01-07,-0.65,1.2121,0.017
1960-01-08,-0.33,1.1491,0.017
1960-01-11,-1.15,1.2531,0.017
1960-01-12,-0.58,1.216,0.017
1960-01-13,-0.53,1.2238,0.017
1960-01-14,0.56,1.1462,0.017
1960-01-15,0.01,1.131,0.017
1960-01-18,-0.84,1.2511,0.017
1960-01-19,-1.0,1.1796,0.017
1960-01-20,-0.3,1.0605,0.017
1960-01-21,0.22,1.0358,0.017
1960-01-22,0.28,0.99405,0.017
1960-01-25,-1.05,1.2194,0.017
1960-01-26,0.15,1.1792,0.017
1960-01-27,-0.28,1.1203,0.017
1960-01-28,-1.0,1.162,0.017
1960-01-29,-0.97,1.2356,0.017
1960-02-01,0.5,1.2665,0.013999999999999999
1960-02-02,1.54,1.4221,0.013999999999999999
1960-02-03,-0.83,1.2103,0.013999999999999999
1960-02-04,-0.08,1.1028,0.013999999999999999
1960-02-05,-0.49,1.1233,0.013999999999999999
1960-02-08,-1.01,1.2182,0.013999999999999999
1960-02-09,0.89,1.3132,0.013999999999999999
1960-02-10,-0.57,1.1329,0.013999999999999999
1960-02-11,-0.51,1.1599,0.013999999999999999
1960-02-12,0.45,1.0587,0.013999999999999999
1960-02-15,-0.5,1.1425,0.013999999999999999
1960-02-16,-0.88,1.3512,0.013999999999999999
1960-02-17,0.63,1.308,0.013999999999999999
1960-02-18,1.37,1.3946,0.013999999999999999
1960-02-19,0.72,1.5171,0.013999999999999999
1960-02-23,-0.5,1.4034,0.013999999999999999
1960-02-24,-0.29,1.3667,0.013999999999999999
1960-02-25,0.45,1.3764,0.013999999999999999
1960-02-26,0.42,1.225,0.013999999999999999
1960-02-29,-0.08,1.2677,0.013999999999999999
1960-03-01,-0.15,1.1787,0.015
1960-03-02,-0.71,1.1034,0.015
1960-03-03,-1.54,1.3036,0.015
1960-03-04,-0.39,1.2586,0.015
1960-03-07,-1.1,1.3373,0.015
1960-03-08,-0.94,1.1642,0.015
1960-03-09,1.1,1.6239,0.015
1960-03-10,-0.34,1.2995,0.015
1960-03-11,0.73,1.2425,0.015
1960-03-14,0.18,1.1332,0.015
1960-03-15,0.78,1.2564,0.015
1960-03-16,0.52,1.1368,0.015
1960-03-17,-0.18,1.0565,0.015
1960-03-18,0.06,1.0485,0.015
1960-03-21,0.09,1.1337,0.015
1960-03-22,0.36,1.1951,0.015
1960-03-23,0.76,1.588,0.015
1960-03-24,0.41,1.2502,0.015
1960-03-25,0.0,1.0959999999999999,0.015
1960-03-28,-0.24,1.2085,0.015
1960-03-29,-0.2,1.0674,0.015
1960-03-30,-0.16,1.2543,0.015
1960-03-31,-0.63,1.1478,0.015
1960-04-01,0.2,1.2044,0.01
1960-04-04,0.18,1.1053,0.01
1960-04-05,0.54,1.1857,0.01
1960-04-06,1.01,1.321,0.01
1960-04-07,0.07,1.1924,0.01
1960-04-08,-0.21,1.1768,0.01
1960-04-11,-0.39,1.113,0.01
1960-04-12,0.22,1.1109,0.01
1960-04-13,-0.03,1.2743,0.01
1960-04-14,0.26,1.1404,0.01
1960-04-18,0.23,1.5456,0.01
1960-04-19,-0.74,1.2799,0.01
1960-04-20,-1.17,1.5632,0.01
1960-04-21,0.34,1.162,0.01
1960-04-22,-0.27,1.107,0.01
1960-04-25,-1.02,1.2869,0.01
1960-04-26,0.36,1.2287,0.01
1960-04-27,-0.03,1.2945,0.01
1960-04-28,-0.86,1.3139,0.01
1960-04-29,-0.35,1.3032,0.01
1960-05-02,-0.51,1.3599,0.013000000000000001
1960-05-03,1.36,1.4809,0.013000000000000001
1960-05-04,0.41,1.2574,0.013000000000000001
1960-05-05,-0.33,1.153,0.013000000000000001
1960-05-06,-0.12,1.2591,0.013000000000000001
1960-05-09,0.11,1.291,0.013000000000000001
1960-05-10,-0.58,1.2926,0.013000000000000001
1960-05-11,0.23,1.2078,0.013000000000000001
1960-05-12,0.54,1.5922,0.013000000000000001
1960-05-13,0.89,1.6280000000000001,0.013000000000000001
1960-05-16,-0.08,1.399,0.013000000000000001
1960-05-17,0.37,1.6029,0.013000000000000001
1960-05-18,0.02,1.4372,0.013000000000000001
1960-05-19,0.43,1.445,0.013000000000000001
1960-05-20,0.2,1.5145,0.013000000000000001
1960-05-23,-0.08,1.3037,0.013000000000000001
1960-05-24,-0.06,1.6811,0.013000000000000001
1960-05-25,-0.04,1.7497,0.013000000000000001
1960-05-26,0.08,1.3741,0.013000000000000001
1960-05-27,0.07,1.3892,0.013000000000000001
1960-05-31,0.16,1.6481,0.013000000000000001
1960-06-01,0.16,1.5978,0.011000000000000001
1960-06-02,0.36,1.5858,0.011000000000000001
1960-06-03,0.19,1.4202,0.011000000000000001
1960-06-06,1.12,1.7889,0.011000000000000001
1960-06-07,0.96,1.4976,0.011000000000000001
1960-06-08,0.75,1.5991,0.011000000000000001
1960-06-09,0.11,1.8675,0.011000000000000001
1960-06-10,0.06,1.255,0.011000000000000001
1960-06-13,0.06,1.5093,0.011000000000000001
1960-06-14,-0.01,1.475,0.011000000000000001
1960-06-15,-0.54,1.3948,0.011000000000000001
1960-06-16,-0.1,1.4616,0.011000000000000001
1960-06-17,-0.1,1.574,0.011000000000000001
1960-06-20,-0.38,1.5507,0.011000000000000001
1960-06-21,-0.1,1.5727,0.011000000000000001
1960-06-22,0.21,1.4404,0.011000000000000001
1960-06-23,0.46,1.3845,0.011000000000000001
1960-06-24,0.15,1.3733,0.011000000000000001
1960-06-27,-0.56,1.4479,0.011000000000000001
1960-06-28,-0.7,1.4149,0.011000000000000001
1960-06-29,0.04,1.3507,0.011000000000000001
1960-06-30,-0.06,1.3621,0.011000000000000001
1960-07-01,0.24,1.1809,0.006999999999999999
1960-07-05,-0.11,1.3677,0.006999999999999999
